age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
26.0,4.7,windy,jam,2,snack,electric_scooter,1.0,no,metropolitian,19,0,10.0,evening,9.177683834695673,medium
21.0,4.9,windy,medium,2,drinks,motorcycle,1.0,no,metropolitian,20,0,5.0,afternoon,6.08153593718375,medium
,,stormy,low,2,meal,scooter,1.0,no,metropolitian,29,1,,,1.5545625412407005,short
32.0,4.7,windy,medium,0,buffet,motorcycle,1.0,no,metropolitian,46,0,15.0,evening,20.85227088046227,very_long
34.0,4.9,sandstorms,jam,1,meal,scooter,0.0,no,urban,29,0,5.0,night,9.056095962462344,medium
30.0,4.2,stormy,medium,0,drinks,motorcycle,1.0,no,metropolitian,47,0,10.0,evening,20.17984922053873,very_long
29.0,4.9,fog,low,0,snack,motorcycle,1.0,no,metropolitian,20,1,15.0,night,7.325157361461918,medium
38.0,4.5,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,22,0,10.0,morning,3.059443338897214,short
38.0,5.0,cloudy,medium,2,snack,scooter,2.0,no,metropolitian,42,0,15.0,evening,13.406506203190968,long
22.0,4.5,stormy,low,2,snack,electric_scooter,0.0,no,metropolitian,18,0,10.0,night,,
20.0,2.8,sunny,low,2,drinks,scooter,1.0,no,metropolitian,32,0,10.0,,10.427235657896496,long
29.0,4.4,cloudy,jam,2,buffet,scooter,1.0,no,,36,0,15.0,night,12.20986822612317,long
26.0,4.7,stormy,jam,2,drinks,scooter,1.0,no,metropolitian,22,0,10.0,evening,10.86869350467311,long
29.0,4.0,windy,medium,0,drinks,motorcycle,1.0,no,metropolitian,36,1,10.0,evening,16.851045489710874,very_long
25.0,4.6,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,17,0,5.0,night,19.36320422209685,very_long
39.0,4.9,stormy,jam,0,buffet,motorcycle,3.0,no,metropolitian,51,1,15.0,evening,,
38.0,4.3,fog,jam,1,buffet,motorcycle,1.0,no,metropolitian,35,1,10.0,evening,7.325558747690406,medium
21.0,4.8,cloudy,low,2,meal,motorcycle,0.0,no,urban,12,0,5.0,morning,3.073599739868747,short
24.0,4.5,sunny,high,2,snack,electric_scooter,0.0,no,urban,10,0,15.0,morning,1.5524171298912166,short
29.0,4.7,sunny,jam,1,snack,motorcycle,0.0,no,metropolitian,19,0,15.0,evening,13.894095776997974,long
27.0,4.6,windy,high,0,buffet,motorcycle,1.0,no,metropolitian,17,0,5.0,afternoon,6.232321450753526,medium
,,cloudy,high,0,drinks,motorcycle,0.0,no,metropolitian,21,0,5.0,morning,1.5300320235211002,short
28.0,5.0,fog,low,2,snack,motorcycle,1.0,no,metropolitian,20,1,15.0,,16.90375725452544,very_long
28.0,4.6,windy,medium,1,drinks,motorcycle,1.0,no,metropolitian,26,0,15.0,afternoon,13.830084721845328,long
30.0,4.1,cloudy,jam,2,meal,scooter,2.0,no,,36,0,15.0,evening,7.546267706957737,medium
22.0,4.9,fog,medium,1,buffet,motorcycle,0.0,no,metropolitian,38,0,10.0,evening,19.617581275547632,very_long
23.0,4.7,stormy,medium,1,buffet,scooter,0.0,no,metropolitian,24,0,15.0,afternoon,6.050355980667948,medium
21.0,4.7,sandstorms,low,0,drinks,motorcycle,1.0,no,metropolitian,18,0,10.0,night,20.206315811338555,very_long
20.0,4.6,cloudy,high,0,buffet,motorcycle,1.0,no,metropolitian,27,0,10.0,morning,1.5545440228107197,short
27.0,4.5,fog,high,0,meal,motorcycle,0.0,no,urban,29,0,10.0,morning,6.147127365910595,medium
32.0,4.7,cloudy,low,0,snack,motorcycle,0.0,no,metropolitian,21,0,10.0,morning,1.5580739318105787,short
23.0,4.9,cloudy,medium,0,drinks,motorcycle,1.0,no,metropolitian,28,0,10.0,afternoon,4.657857733630665,short
33.0,4.8,windy,medium,2,buffet,scooter,1.0,no,urban,23,0,15.0,evening,17.07395729139767,very_long
24.0,4.6,sandstorms,jam,2,buffet,motorcycle,1.0,no,metropolitian,27,0,10.0,evening,11.923472540743209,long
30.0,4.9,sunny,medium,2,snack,scooter,1.0,no,metropolitian,22,0,15.0,evening,19.76089839940378,very_long
36.0,5.0,cloudy,medium,0,drinks,motorcycle,2.0,no,metropolitian,45,1,15.0,evening,11.71980974006041,long
27.0,4.8,sunny,jam,0,buffet,motorcycle,1.0,no,metropolitian,20,1,5.0,evening,13.990536544120216,long
34.0,4.6,fog,jam,2,meal,electric_scooter,2.0,no,metropolitian,48,0,5.0,night,16.852444613264275,very_long
34.0,4.5,sunny,low,1,buffet,motorcycle,0.0,no,metropolitian,16,0,10.0,night,19.97292994794248,very_long
35.0,4.5,sandstorms,low,1,meal,scooter,0.0,no,metropolitian,29,1,5.0,morning,1.5525704156536744,short
,,,,3,meal,scooter,1.0,no,metropolitian,50,0,,,19.6734314225385,very_long
33.0,4.7,sandstorms,low,1,buffet,scooter,0.0,no,,21,0,5.0,morning,1.5263954607692642,short
37.0,4.8,sunny,high,0,snack,motorcycle,1.0,no,metropolitian,27,0,5.0,afternoon,6.051989448511275,medium
20.0,4.8,fog,medium,1,meal,motorcycle,0.0,no,urban,15,0,10.0,evening,7.762944133594541,medium
